1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	1e-06
35	0
36	0
37	0
38	0
39	0
40	0
41	1e-06
42	0
43	0
44	0
45	3e-06
46	1e-06
47	0
48	1e-06
49	5e-06
50	3e-06
51	4e-06
52	7e-06
53	5e-06
54	9e-06
55	1.1e-05
56	7e-06
57	1e-05
58	2.1e-05
59	2.2e-05
60	2.6e-05
61	3.5e-05
62	5.6e-05
63	5.7e-05
64	5.8e-05
65	8.3e-05
66	9.4e-05
67	0.000137
68	0.00016
69	0.000189
70	0.000238
71	0.000327
72	0.000412
73	0.000485
74	0.000644
75	0.000765
76	0.000953
77	0.00126
78	0.00147
79	0.001809
80	0.002391
81	0.002858
82	0.003503
83	0.004501
84	0.005598
85	0.007072
86	0.008971
87	0.010968
88	0.01363
89	0.017065
90	0.021562
91	0.026817
92	0.033516
93	0.041898
94	0.052241
95	0.065612
96	0.081841
97	0.102681
98	0.127285
99	0.160329
100	0.200292
